0,1,N-Z,N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,BETA_DECAYENERGY,dBETA_DECAYENERGY,ATOMICMASS,dATOMICMASS,IsCalculated
414,,-4,22,26,48,Fe,-18008.575,92.218,8022.7254,1.9212,-19738,509,47980667,99,0
415,,-6,21,27,48,Co,1730,500,7595,10,-16448,656,48001857,537,1
416,,-8,20,28,48,Ni,18178,424,7236,9,,,48019515,455,1
417,0,17,33,16,49,S,20391,583,7400,12,19652,707,49021891,626,1
418,,15,32,17,49,Cl,740,400,7785,8,17800,565,49000794,429,1
419,,13,31,18,49,Ar,-17060,400,8132,8,12551,400,48981685,429,1
420,,11,30,19,49,K,-29611.496,0.801,8372.2753,0.0164,11688.5069,0.8205,48968210.75,0.86,0
421,,9,29,20,49,Ca,-41300.003,0.178,8594.85,0.0036,5262.4445,2.2745,48955662.63,0.19,0
422,,7,28,21,49,Sc,-46562.447,2.268,8686.2805,0.0463,2001.5652,2.2684,48950013.16,2.434,0
423,,5,27,22,49,Ti,-48564.012,0.078,8711.1625,0.0016,-601.8555,0.8203,48947864.39,0.084,0
424,,3,26,23,49,V,-47962.157,0.824,8682.9135,0.0168,-2629.8047,2.3487,48948510.51,0.884,0
425,,1,25,24,49,Cr,-45332.352,2.202,8613.2777,0.0449,-7712.4265,0.2329,48951333.72,2.363,0
426,,-1,24,25,49,Mn,-37619.925,2.214,8439.915,0.0452,-12869.1957,24.3199,48959613.35,2.377,0
427,,-3,23,26,49,Fe,-24750.73,24.219,8161.3121,0.4943,-14971,501,48973429,26,0
428,,-5,22,27,49,Co,-9780,500,7840,10,-18309,781,48989501,537,1
429,,-7,21,28,49,Ni,8530,600,7450,12,,,49009157,644,1
430,0,16,33,17,50,Cl,7700,400,7651,8,20930,640,50008266,429,1
431,,14,32,18,50,Ar,-13230,500,8054,10,12498,500,49985797,537,1
432,,12,31,19,50,K,-25727.853,7.731,8288.5833,0.1546,13861.3774,7.8919,49972380.02,8.3,0
433,,10,30,20,50,Ca,-39589.23,1.584,8550.1639,0.0317,4947.8903,2.9723,49957499.22,1.7,0
434,,8,29,21,50,Sc,-44537.12,2.515,8633.4747,0.0503,6894.747,2.5166,49952187.44,2.7,0
435,,6,28,22,50,Ti,-51431.867,0.082,8755.7227,0.0017,-2208.6274,0.0579,49944785.62,0.088,0
436,,4,27,23,50,V,-49223.24,0.093,8695.9032,0.0019,1038.124,0.0551,49947156.68,0.099,0
437,,2,26,24,50,Cr,-50261.364,0.094,8701.0188,0.0019,-7634.4776,0.0672,49946042.21,0.1,0
438,,0,25,25,50,Mn,-42626.886,0.115,8532.6823,0.0023,-8150.4267,8.3842,49954238.16,0.123,0
439,,-2,24,26,50,Fe,-34476.46,8.383,8354.0268,0.1677,-16887.0566,126.0308,49962988,9,0
440,,-4,23,27,50,Co,-17589.403,125.752,8000.6387,2.515,-14130,516,49981117,135,0
441,,-6,22,28,50,Ni,-3460,500,7702,10,,,49996286,537,1
442,0,17,34,17,51,Cl,14290,700,7530,14,20780,806,51015341,751,1
443,,15,33,18,51,Ar,-6490,400,7922,8,16026,400,50993033,429,1
444,,13,32,19,51,K,-22515.457,13.041,8221.335,0.2557,13816.8529,13.0517,50975828.66,14,0
445,,11,31,20,51,Ca,-36332.31,0.522,8476.9135,0.0102,6918.0432,2.5686,50960995.66,0.56,0
446,,9,30,21,51,Sc,-43250.353,2.515,8597.2213,0.0493,6482.6122,2.5612,50953568.84,2.7,0
447,,7,29,22,51,Ti,-49732.965,0.484,8708.9912,0.0095,2470.1402,0.482,50946609.47,0.519,0
448,,5,28,23,51,V,-52203.105,0.097,8742.0852,0.0019,-752.3907,0.1494,50943957.66,0.104,0
449,,3,27,24,51,Cr,-51450.715,0.167,8711.9923,0.0033,-3207.4893,0.3256,50944765.39,0.178,0
450,,1,26,25,51,Mn,-48243.225,0.304,8633.7602,0.006,-8054.04,1.4309,50948208.77,0.326,0
451,,-1,25,26,51,Fe,-40189.185,1.398,8460.4977,0.0274,-12847.0389,48.4579,50956855.14,1.501,0
452,,-3,24,27,51,Co,-27342.146,48.438,8193.2549,0.9498,-15692,503,50970647,52,0
453,,-5,23,28,51,Ni,-11650,500,7870,10,,,50987493,537,1
454,0,18,35,17,52,Cl,22360,700,7386,13,23739,922,52024004,751,1
455,,16,34,18,52,Ar,-1380,600,7827,12,15758,601,51998519,644,1
456,,14,33,19,52,K,-17137.628,33.534,8115.0303,0.6449,17128.6431,33.5405,51981602,36,0
457,,12,32,20,52,Ca,-34266.272,0.671,8429.3821,0.0129,6257.2889,3.1463,51963213.65,0.72,0
458,,10,31,21,52,Sc,-40523.56,3.074,8534.6695,0.0591,8954.1372,4.1223,51956496.17,3.3,0
459,,8,30,22,52,Ti,-49477.698,2.747,8691.8193,0.0528,1965.334,2.751,51946883.51,2.948,0
460,,6,29,23,52,V,-51443.032,0.159,8714.569,0.0031,3976.4763,0.1601,51944773.64,0.17,0
461,,4,28,24,52,Cr,-55419.508,0.112,8775.9946,0.0022,-4708.1214,0.0633,51940504.71,0.12,0
462,,2,27,25,52,Mn,-50711.387,0.129,8670.4087,0.0025,-2379.2912,0.1534,51945559.09,0.138,0
463,,0,26,26,52,Fe,-48332.095,0.179,8609.6079,0.0035,-13988.1167,5.2831,51948113.36,0.192,0
464,,-2,25,27,52,Co,-34343.979,5.282,8325.5606,0.1016,-11784.123,83.071,51963130.22,5.669,0
465,,-4,24,28,52,Ni,-22559.856,82.903,8083.8977,1.5943,-20680,606,51975781,89,0
466,,-6,23,29,52,Cu,-1880,600,7671,12,,,51997982,644,1
467,0,17,35,18,53,Ar,6791,699,7677,13,19086,708,53007290,750,1
468,,15,34,19,53,K,-12295.722,111.779,8022.8488,2.109,17091.9853,120.0471,52986800,120,0
469,,13,33,20,53,Ca,-29387.707,43.78,8330.5778,0.826,9381.8471,47.2223,52968451,47,0
470,,11,32,21,53,Sc,-38769.555,17.698,8492.8325,0.3339,8111.8785,17.9325,52958379.17,19,0
471,,9,31,22,53,Ti,-46881.433,2.888,8631.1256,0.0545,4970.2419,4.2386,52949670.71,3.1,0
472,,7,30,23,53,V,-51851.675,3.103,8710.1425,0.0585,3435.9426,3.1017,52944334.94,3.331,0
473,,5,29,24,53,Cr,-55287.618,0.116,8760.2103,0.0022,-597.2679,0.343,52940646.3,0.124,0
474,,3,28,25,53,Mn,-54690.35,0.346,8734.1798,0.0065,-3742.8664,1.6971,52941287.5,0.371,0
475,,1,27,26,53,Fe,-50947.483,1.669,8648.7985,0.0315,-8288.1073,0.4431,52945305.63,1.792,0
476,,-1,26,27,53,Co,-42659.376,1.727,8477.6578,0.0326,-13028.5485,25.2096,52954203.28,1.854,0
477,,-3,25,28,53,Ni,-29630.827,25.15,8217.0749,0.4745,-16491,501,52968190,27,0
478,,-5,24,29,53,Cu,-13140,500,7891,9,,,52985894,537,1
479,0,18,36,18,54,Ar,12560,800,7578,15,17710,894,54013484,859,1
480,,16,35,19,54,K,-5150,400,7891,7,20010,403,53994471,429,1
