N,Z,A,EL,MASSEXCESS,dMASSEXCESS,BINDINGENERGY_A,dBINDINGENERGY_A,IsCalculated
107, 69, 176, Tm, -49296.934, 200.022, 1415867.380, 200.022, 0
106, 70, 176, Yb, -53496.934, 2.937, 1419285.026, 2.947, 0
105, 71, 176, Lu, -53390.757, 2.617, 1418396.494, 2.628, 0
104, 72, 176, Hf, -54582.439, 2.856, 1418805.823, 2.866, 0
103, 73, 176, Ta, -51472.439, 100.041, 1414913.469, 100.041, 0
102, 74, 176, W, -50683, 196, 1413341, 196, 1
101, 75, 176, Re, -45112, 196, 1406989, 196, 1
100, 76, 176, Os, -41948, 196, 1403041, 196, 1
99, 77, 176, Ir, -33986, 305, 1394298, 305, 1
98, 78, 176, Pt, -28876, 196, 1388406, 196, 1
97, 79, 176, Au, -18379, 401, 1377126, 401, 1
96, 80, 176, Hg, -11798.518, 34.912, 1369763.070, 34.913, 0
95, 81, 176, Tl, 638, 478, 1356544, 478, 1
108, 69, 177, Tm, -47804, 298, 1422446, 298, 1
107, 70, 177, Yb, -50992.411, 3.172, 1424851.826, 3.182, 0
106, 71, 177, Lu, -52391.659, 2.599, 1425468.719, 2.611, 0
105, 72, 177, Hf, -52889.879, 2.547, 1425184.586, 2.559, 0
104, 73, 177, Ta, -51723.879, 3.936, 1423236.232, 3.943, 0
103, 74, 177, W, -49723, 298, 1420453, 298, 1
102, 75, 177, Re, -46323, 196, 1416271, 196, 1
101, 76, 177, Os, -41850, 279, 1411016, 279, 1
100, 77, 177, Ir, -36170, 448, 1404553, 448, 1
99, 78, 177, Pt, -29386, 311, 1396986, 311, 1
98, 79, 177, Au, -21229, 228, 1388047, 228, 1
97, 80, 177, Hg, -12724.844, 122.988, 1378760.719, 122.988, 0
96, 81, 177, Tl, -2904, 225, 1368158, 225, 1
108, 70, 178, Yb, -49701.109, 10.422, 1431631.847, 10.425, 0
107, 71, 178, Lu, -50345.743, 3.209, 1431494.127, 3.218, 0
106, 72, 178, Hf, -52444.878, 2.540, 1432810.908, 2.552, 0
105, 73, 178, Ta, -50532.878, 100.531, 1430116.554, 100.531, 0
104, 74, 178, W, -50441.578, 100.551, 1429242.900, 100.551, 0
103, 75, 178, Re, -45781.578, 206.181, 1423800.546, 206.181, 0
102, 76, 178, Os, -43446.848, 202.695, 1420683.461, 202.695, 0
101, 77, 178, Ir, -37179.729, 284.282, 1413633.989, 284.282, 0
100, 78, 178, Pt, -32702.236, 347.594, 1408374.141, 347.594, 0
99, 79, 178, Au, -22379, 401, 1397269, 401, 1
98, 80, 178, Hg, -16320.917, 14.849, 1390428.115, 14.851, 0
97, 81, 178, Tl, -5124, 212, 1378449, 212, 1
96, 82, 178, Pb, 2768, 207, 1369775, 207, 1
109, 70, 179, Yb, -46714, 298, 1436716, 298, 1
108, 71, 179, Lu, -49067.272, 5.644, 1438286.978, 5.649, 0
